# term	zh	abbr	definition	status	matched_concept_id	gbt_id
magnetic confinement fusion	磁约束核聚变	MCF	利用强磁场将高温度和高密度等离子体约束足够长的时间而产生的核聚变反应，可以通过托卡马克(2.1.284)、仿星器(2.1.273)、反场箍缩(2.2.117)、Z箍缩(2.1.306)以及 θ 箍缩(2.1.283)等途径实现。	new		2.1.1
Alfven wave instability	阿尔芬波不稳定性		当等离子体粒子在沿磁场方向上运动的能量大于垂直于磁场平面中的能量时，所产生的电磁微观不稳定性。 注：这是由作用在沿弯曲的磁力线流动的等离子体上的离心力引起的。这种不稳定性导致整个磁场形状来回振荡。	new		2.1.12
alpha channel effect	α 通道效应		通过等离子体波将聚变 α 粒子能量直接传递给离子。	new		2.1.13
ambipolar diffusion	双极扩散		当等离子体中出现密度梯度时，电子的扩散比离子快得多，结果引起电荷分离，使等离子体内出现电场的现象。 注：这种电场引起电子迁移减慢而使离子迁移加快，达到准稳态时，电子和离子的通量密度相等(假定离子电荷数为1)。	new		2.1.14
anomalous diffusion	反常扩散		等离子体中由非经典输运引起的等离子体粒子横越磁场的快速扩散，它使等离子体约束性能变坏。参见反常输运(2.1.17)。	new		2.1.15
anomalous electron thermal conduction	反常电子热传导		与等离子体中经典输运理论相比，在实验中测量到更大电子热传导损失的现象。参见反常输运(2.1.17)。	new		2.1.16
anomalous transport	反常输运		与等离子体中经典输运理论相比，在实验中测量到更大输运损失的现象。	exists	anomalous-transport	2.1.17
aspect ratio	环径比		环形等离子体的大半径与小半径之比。参见等离子体几何位形(2.1.220)。	exists	aspect-ratio	2.1.18
auxiliary heating; additional heating	辅助加热		除等离子体自身效应加热之外的附加加热，主要包括中性束注入和射频波加热等。	new		2.1.19
ballooning instability	气球不稳定性		环形等离子体中，由压强梯度在环外侧驱动的局部磁流体动力学不稳定性。	new		2.1.20
banana orbits	香蕉轨道		环形等离子体中，磁场中的俘获粒子导向中心的一种常见运行轨迹，因其形似香蕉而得名。	exists	banana-orbit	2.1.21
Bernstein mode	伯恩斯坦模		在高温等离子体中垂直于磁场传播的准静电性质的波动模式。	new		2.1.22
beta value	比压值		β 值 等离子体压强与磁压强之比，是磁约束的品质因数之一。	new		2.1.23
beta limit	比压极限		β 极限 磁约束等离子体可达到的最大比压值。	exists	mhd-stability-limit	2.1.24
Bohm diffusion	玻姆扩散		等离子体粒子横越磁场的反常扩散现象。扩散系数通常比经典扩散系数大几个数量级，而且扩散系数与磁场强度成反比。	exists	bohm-diffusion	2.1.25
Bohm transport	玻姆输运		回旋玻姆输运 gyro-Bohm transport 与长波长等离子体扰动有关的反常扩散，这类输运的约束时间随磁场线性地增大。	new		2.1.26
bootstrap current	自举电流		在存在压强梯度情况下，由新经典效应引起的环向电流，它与环形磁场系统中捕获粒子效应相关。亦称靴带电流。	exists	bootstrap-current	2.1.27
burn fraction of thermonuclear fuel	热核燃料燃耗		热核反应过程中，反应燃烧掉的热核燃料质量与投料质量的比值，它取决于燃烧速率和约束的好坏。	new		2.1.28
central electron density	中心电子密度		磁约束聚变装置中磁轴处的等离子体电子密度。	new		2.1.29
closed(magnetic)configuration	闭合(磁)位形		空间磁力线闭合的一种磁场结构，以便使等离子体只有通过横越磁力线扩散才能从该系统逃逸。	new		2.1.30
cold plasma	冷等离子体		温度效应可被忽略的等离子体模型，即比起外加约束磁场的磁压力、动(力)压力可以忽略的情形(即 β 值远小于1)。	new		2.1.31
collective instabilities	集体不稳定性		当高能粒子的压强比较高(可与等离子体热压强相比较)时，由高能粒子激发的不稳定性。	new		2.1.32
collective phenomena	集体现象		由于库仑作用的长程性质，等离子体内粒子群体行为所产生的现象。	new		2.1.33
collisional plasma	碰撞等离子体		粒子的运动受二体短程碰撞支配的等离子体。	new		2.1.34
collisionless plasma	无碰撞等离子体		可以忽略二体库仑碰撞效应的理想等离子体。	new		2.1.35
collisionless shock wave	无碰撞激波		等离子体中波阵面内的耗散机制不是库仑碰撞效应时的激波。该激波中波阵面的厚度小于平均自由程。	new		2.1.36
collisionless tearing instability	无碰撞撕裂不稳定性		在无碰撞等离子体中，由密度和温度的不均匀性驱动的撕裂模不稳定性。通常，电子的惯性、霍尔电流、压强梯度或者朗道阻尼是造成等离子体与磁力线分离的原因。	new		2.1.37
confinement enhancement factor	约束增强因子		等离子体高约束模式与低约束模式的约束时间之比。	exists	h-factor	2.1.38
confinement time	约束时间		表征能量(或粒子)从等离子体中损失的特征时间。 注：处于热平衡态的等离子体中，能量约束时间被定义为总储能与总加热功率之比。	conflict	confinement-time|tau-e	2.1.39
controlledthermonuclearfusion	受控热核聚变		在一个有限的空间内将很轻的原子核加热到极高温度，使其在受控条件下进行聚变反应的过程。	new		2.1.40
core confinement	芯部约束		靠近等离子体中心的高温、高密度区域的能量和粒子约束。	new		2.1.41
current drive (non-inductive)	电流驱动(非感应)		由外部注入动量(例如，用射频波或中性束注入)驱动等离子体电流的过程。可帮助实现托卡马克 (2.1.284) 稳态运行，并应用于优化等离子体位形以控制不稳定性和改善等离子体约束。	new		2.1.42
cusped geometry	会切几何位形		磁力线处处凸向位形中心的磁场位形。这种位形有利于稳定磁流体不稳定性。	new		2.1.43
cyclotron frequency	回旋频率		在磁场中，带电粒子在洛伦兹力作用下围绕磁力线做回旋运动的固有频率，其大小与带电粒子的质量及磁场的强度有关。	exists	cyclotron-frequency	2.1.44
cyclotron instability	回旋不稳定性		在均匀的各向异性等离子体中，由于粒子的回旋运动同与等离子体振荡相联系的静电波之间的耦合激发的静电微观不稳定性。	new		2.1.45
cyclotron radiation	回旋辐射		磁场中的带电粒子因其回旋运动而发出的辐射。	exists	synchrotron-radiation	2.1.46
cyclotron resonance	回旋共振		电磁波的频率接近带电粒子的回旋频率(及其谐波)时出现的波与等离子体能量交换的现象。	new		2.1.47
cyclotron resonance heating	回旋共振加热		利用射频波，通过回旋共振机制加热等离子体的方法。包括离子回旋共振加热与电子回旋共振加热。	new		2.1.48
cylindrical approximation	圆柱形近似		大环径比条件下对托卡马克环形几何位形的一种近似。	new		2.1.49
D-alpha light	氘阿尔法光		氘阿尔法辐射 D-alpha radiation 氘原子的电子由 n = 3 退激至 n = 2 所发出的可见光辐射。	new		2.1.50
D-shaped plasma	"D"形等离子体		具有形似英文大写字母"D"形横截面的等离子体。	new		2.1.51
Debye length	德拜长度		德拜球半径 Debye sphere radius 一个电子受到一个给定的正离子电场影响的距离，它是等离子体中的一个特征长度，是电子电荷密度能够明显地区别于离子电荷密度的距离的量度。	exists	debye-length	2.1.52
degenerate configuration	简并位形		由简并磁力线形成的闭合磁位形，即磁力线在绕位形有限次数之后本身正好闭合的位形。	new		2.1.53
density limit	密度极限		稳定运行的磁约束装置中等离子体所能达到的最高密度。	exists	density-limit	2.1.54
deuterium-deuterium reactions	氘-氘反应		D-D反应 氘核间的聚变反应。 反应式为： \mathrm {D} + \mathrm {D} \rightarrow \mathrm {n} + ^ {3} \mathrm {H e} \mathrm {D} + \mathrm {D} \rightarrow \mathrm {p} + \mathrm {T} 等概率地生成氦核/中子、氚/质子的同时释放能量。	exists	dd-reaction	2.1.55
reaction	mathbfD^-3mathbfHmathbfe 反应deuterium-helium-3 reaction; mathbfD^-3mathbfHmathbfe		氘与氦之间发生的受控聚变反应，反应式为： \mathrm {D} + ^ {3} \mathrm {H e} \rightarrow \mathrm {p} + ^ {4} \mathrm {H e} + 1 8. 4 \mathrm {M e V} 注：因燃料没有放射性，且不直接产生中子，这种反应比氘-氚反应更具有安全和环保的优点。但聚变条件更高。	new		2.1.56
deuterium-tritium plasma	氘-氘等离子体		由氘和氚混合物形成的等离子体。	exists	deuterium-tritium-plasma	2.1.57
deuterium-tritium reaction	氘-氚反应		目前最有希望实现聚变能应用的反应： \mathrm {D} + \mathrm {T} \rightarrow \mathrm {n} + ^ {4} \mathrm {H e} + 1 7. 6 \mathrm {M e V} 又称D-T反应(D-Treaction)或氘-氚燃烧(D-Tburn)。	exists	dt-reaction	2.1.58
diamagnetic effect	逆磁效应		逆磁电流产生的磁场与原来的磁场方向相反，使通过等离子体的磁场强度减弱的效应。	new		2.1.59
diamagnetic plasma	逆磁等离子体		当磁通量穿过等离子体时，由于产生的感应电流形成一个反方向的磁通量，而使等离子体的磁通量减少。	new		2.1.60
dispersion relation	色散关系		等离子体波动或不稳定性的频率和波矢量之间的关系。	new		2.1.61
displacement of plasma	等离子体位移		等离子体偏离宏观平衡位置的移动。	new		2.1.62
disruption	破裂		等离子体的温度陡然下降并使等离子体放电在短时间出现瞬间淬灭的现象，它导致放电中断并严重损坏核聚变装置。也称为等离子体破裂(plasma disruption)。	exists	disruption	2.1.63
disruptive instability	破裂不稳定性		托卡马克(2.1.284)装置等离子体中最常见的宏观不稳定性。主要特征是：磁通量突变，电流通道迅速(几十微秒内)膨胀，等离子体环显著地向环内侧移动，等离子体环电压波形图上出现负尖脉冲，同时等离子体电流波形图上出现正尖脉冲，能量和粒子输运增强(温度、密度、杂质浓度分布发生突变，软X射线信号也发生相应变化)。破裂不稳定性依其特征可分为内破裂和外破裂。内破裂主要表现为由 等离子体中心区软X射线发射强度波形图上的锯齿振荡，可用 m = 1 的撕裂模不稳定性来解释。外破裂又依其电压波形图上负尖脉冲幅值大小分为大破裂和小破裂。破裂不稳定性的发生不仅限制其等离子体参数的进一步提高，约束性能变坏，甚至引起等离子体电流突然中断。	new		2.1.64
dissociative recombination	# 离解复合		电子同正的分子离子相结合，随之是分子离解的过程。所形成的原子带走过剩能量。如： \mathrm {H} _ {2} ^ {+} + \mathrm {e} \rightarrow \mathrm {H} _ {2} ^ {*} \rightarrow \mathrm {H} + \mathrm {H}	new		2.1.65
divertor physics	# 偏滤器物理		与偏滤器有关的物理问题。	new		2.1.66
double null equilibrium	双零平衡		有两个极向磁场零点存在的等离子体平衡位形。	new		2.1.67
drift cyclotron resonance instability	漂移回旋共振不稳定性		在绝热不变性遭到破坏的某个频率范围内(包括粒子回旋频率)的静电漂移不稳定性。当横向漂移波和离子回旋运动发生共振时，这种不稳定性具有最高的增长速率。	new		2.1.68
drift dissipative instability	漂移耗散不稳定性		一组类似于无碰撞漂移不稳定性的静电不稳定性，但其增长率同碰撞有关，而不是同共振粒子有关。	new		2.1.69
drift instability	漂移不稳定性		由垂直于磁场方向的空间密度梯度或温度梯度引起的等离子体逆磁漂移所形成的一类微观不稳定性。又称为普适不稳定性。	new		2.1.70
drift kinetic theory	漂移动理学理论		描述粒子导向中心分布函数的动理学理论。	new		2.1.71
drift orbits	漂移轨道		在横向电场和非均匀磁场中带电粒子的运动轨道。	new		2.1.72
drift surface	漂移面		根据绝热不变性定律，粒子导向中心被限制在某个面上运动。	new		2.1.73
drift wave	漂移波		在不均匀等离子体中，由于温度、密度或者磁场强度等梯度的出现，在垂直于磁场和梯度方向形成漂移流从而形成的波动。	exists	drift-wave	2.1.74
driven current	驱动电流		用外加手段(例如：电磁感应、中性束以及射频波)产生的等离子体电流。	new		2.1.75
dustyplasma	尘埃等离子体		由大量电子、离子及带电和不带电尘埃粒子组成的宏观电中性体。	new		2.1.76
edge fluctuations	边缘涨落		在等离子体边界区域发生的密度或者电场的波动。	new		2.1.77
edge localized mode	边缘局域模	ELM	在高约束(H模)状态下由边缘很窄的区域形成的高压强梯度引起的张弛性不稳定性。它会瞬间导致粒子和能量从边缘损失掉。	exists	edge-localized-mode	2.1.78
edge physics	边缘物理		等离子体边界区域的物理问题。	new		2.1.79
edgeplasma	边缘等离子体		靠近最后一个封闭磁面内侧的等离子体。	new		2.1.80
eikonal equation	短时距方程		电磁波或声波在非均匀介质中传播的方程，只有当介质性质的变化在波长距离范围内很小时，它才有效。	new		2.1.81
E-layer	E-层		在天体器装置上用来形成、加热及约束所包围的等离子体的相对论电子层。它是由相对论电子束产生的。向磁镜装置注入一束通量充分高的电子流, 则由电子流产生的磁场可超过初始磁场, 从而形成与初始磁场反向的相对论电子圆柱层。	new		2.1.82
electromagnetic load	电磁载荷		因载流等离子体运动在周围导体结构中感生的电流所产生的机械载荷。	new		2.1.83
electron cyclotron frequency	电子回旋频率		电子在磁场中作回旋运动的角频率。	exists	cyclotron-frequency	2.1.84
electron cyclotron resonant heating	电子回旋共振加热	ECRH	其频率与电子回旋频率相匹配的射频波辅助加热手段。	exists	electron-cyclotron-resonance-heating	2.1.85
electron cyclotron wave	电子回旋波	ECW	平行于外加磁场传播的圆偏振射频波，其频率低于电子回旋共振频率。	new		2.1.86
electron plasma frequency	电子等离子体频率		等离子体中电子的自由静电振荡频率。	new		2.1.87
electron temperature	电子温度		电子的动理学温度。	exists	electron-temperature	2.1.88
electrostatic confinement	静电约束		用电场约束等离子体。	exists	electrostatic-confinement	2.1.89
electrostatic wave	静电波		在等离子体中由电中性扰动引起的纵波。	new		2.1.90
ELMy H-mode	边缘局域H模		伴随有边缘局域模的高约束模式(H模)。	new		2.1.91
elongation	拉长比		等离子体极向截面高度与宽度之比。	exists	plasma-elongation	2.1.92
empirical scaling formulas	经验定标公式		根据实验数据分析而拟合出来的描述等离子体参数随实验参数变化的公式。	new		2.1.93
energy break-even	能量得失相当		核聚变释放出来的能量与用于加热等离子体能量相等的条件。也称为得失平衡(Break-even)。	new		2.1.94
energy confinement time	能量约束时间		表征能量从等离子体中损失的特征时间，其数值等于等离子体的总能量与能量总损失功率之比。	exists	tau-e	2.1.95
energy confinement time scaling law	能量约束时间定标律		根据实验数据分析而拟合出来的等离子体能量约束时间随实验参数的变化规律。	new		2.1.96
energy loss time	能量损失时间		等离子体(由于辐射或者其他机理)损失的能量相当于它的平均动能所需的时间。参见能量约束时间(2.1.95)。	new		2.1.97
enhanced particle modes	增强粒子模型	EPMs	能够加速特定种类粒子的磁流体活动。	new		2.1.98
entropy trapping	熵俘获		通过使粒子的有序运动随机化的过程，把一个有序的粒子束俘获在某一磁场位形中，其结果使系统的熵增加。	new		2.1.99
equilibration times	平衡时间		电子和离子热交换达到平衡所需的时间。	new		2.1.100
fast Alfven wave	快阿尔芬波		存在于等离子体中的波。其频率范围较宽，其速度可与阿尔芬速度相比。	new		2.1.101
finite heat conductivity instability	有限热导率不稳定性		在沿磁场方向存在有限热导的情况下，由横向压力梯度驱动的静电不稳定性。	new		2.1.102
fire-hose instability	水龙带不稳定性		当粒子在磁场方向的能量大于垂直于磁场方向的能量时，在等离子体中产生的电磁流体力学不稳定性。 注：这种不稳定性是由于当等离子体沿着弯曲的磁力线运动时，有离心力作用于等离子体上所致，引起磁场分布整体地前后振荡，当存在涉及整体等离子体大的各向异性时出现阿尔芬波不稳定性，当存在小的各向异性时发生慢阿尔芬波不稳定性。	new		2.1.103
fishbones	鱼骨模		高能粒子驱动的磁流体动力学不稳定性(MHD)，实验观测到像鱼骨形状的周期暴发信号。	exists	fishbone-instability	2.1.104
flip instability	倒转不稳定性		出现在具有反向俘获场的角向箍缩装置中的电磁宏观不稳定性。这时，相应等离子体电流的磁矩与约束线圈产生的磁矩方向相反。因此，如果等离子体通过装置的中心平面，则将释放磁能。	new		2.1.105
Fokker-Planck equation	福克-普朗克方程		考虑多重小角散射的动理学方程。	exists	fokker-planck-equation	2.1.106
frozen magnetic field	磁场冻结		在磁场中具有无限大电导率的流体的运动伴随有磁场的形变，就好像磁力线被冻结在流体中并带它一起移动。	new		2.1.107
fullwave theory	全波理论		考虑波的各种行为(包括传播、吸收等)的一种理论。	new		2.1.108
fusion	聚变		核聚变 nuclear fusion 轻元素的原子核聚合在一起形成较重元素的原子核并释放出能量的核反应。最易实现的核聚变是在氢的两个同位素(氘和氚)之间的反应。氘-氚核聚变反应所释放的大部分能量是由高速中子所带走的。其余的能量则归于反应中产生的 α 粒子(氦核<sup>4</sup>He)。	exists	fusion	2.1.109
fusion triple product	聚变三乘积		等离子体密度、温度和能量约束时间的乘积。也称为三乘积(riple product)。	exists	fusion-triple-product	2.1.110
gas discharge plasma	气体放电等离子体		在气体中施加电场，导致自然存在或引入的空间带电粒子被加速，当电场足够强时会导致"雪崩"，形成放电的等离子体状态。	new		2.1.111
Grad-Shafranov equation	格拉德-沙夫朗诺夫方程		描述托卡马克(2.1.284)中等离子体宏观磁流体平衡的偏微分方程。因美国学者Grad和前苏联学者Shafranov同时导出而得名。	exists	grad-shafranov-equation	2.1.112
gravitational instability	重力不稳定性		G模不稳定性 Gmodeinstability 等离子体在重力(或者某种等效惯性力)的作用下而出现横越磁力线滑移时，出现的电磁宏观不稳定性。	new		2.1.113
Greenwald density	格林沃尔德密度		由美国学者格林沃尔德总结的托卡马克(2.1.284)中等离子体能达到的最高密度。它是托卡马克中密度极限的一种量度。	exists	greenwald-density	2.1.114
guiding center	导向中心		导心 带电粒子在电磁场中运动时拉莫尔回旋轨道的中心。	new		2.1.115
gyro-kinetic theory	回旋动理学理论		通过离子围绕磁力线的快速回旋运动与导心慢运动解耦来描述等离子体中低频行为的动理学理论。	new		2.1.116
gyrorelaxation effect	回旋弛豫效应		利用磁泵增加等离子体中粒子能量的效应。其实现条件是：磁泵调制周期接近于碰撞周期而远大于粒子回旋周期。	new		2.1.117
gyrorelaxation heating	回旋弛豫加热		利用回旋弛豫效应加热等离子体的方法。	new		2.1.118
Hfactor	H因子		等离子体在高约束模式(H模)下的约束时间与按低约束模式(L模)定标定律估计的约束时间之比。	exists	h-factor	2.1.119
H-L transition	H-L转换		高约束模向低约束模的转换。	new		2.1.120
H-mode	H模		在磁约束核聚变装置等离子体中，随着辅助加热功率的上升，保持或改善的良好约束模式。	exists	h-mode	2.1.121
hybrid resonance	混杂共振		磁化等离子体中的一种共振，包括以等离子体频率为特征的平行聚束和以回旋频率为特征的粒子垂直运动的两个方面。	new		2.1.122
hydromagnetic wave	磁流体波		磁场中在导电流体(液体或等离子体)中传播的物质波。	new		2.1.123
ideal internal kink mode	理想内扭曲模		在托卡马克(2.1.284)中心区域的理想磁流体不稳定性。	new		2.1.124
impurities	杂质		聚变燃料(及其反应产物)和电子之外的其他粒子。	exists	impurities	2.1.125
impurity radiation	杂质辐射		由杂质引起的能量辐射。	new		2.1.126
impurity screening	杂质屏蔽		避免杂质进入等离子体采取的措施。例如：硅化、硼化以及锂化处理第一壁。	exists	impurity-screening	2.1.127
inboardplasmashape	等离子体环内侧形状		等离子体大圆周内侧(靠近装置中心)的形状。它受最近的极向场线圈(通常也有中心螺线管)影响很大。	new		2.1.128
indentation	豆形凹度		托卡马克(2.1.284)等离子体位形中具有"豆形"横截面内凹的度量。	new		2.1.129
interchange instability	交换不稳定性		槽型不稳定性 flute instability 等离子体同磁场交换位置的磁流体动力学宏观不稳定性。	exists	interchange-instability	2.1.130
internal inductance	内感		l_i 托卡马克(2.1.284)等离子体环单位长度上的自感，通常用符号 l_i 来表示。	new		2.1.131
internal kink	内扭曲模		发生在等离子体中心区的磁流体动力学不稳定性。	exists	internal-kink-mode	2.1.132
internal mode	内模		发生在托卡马克(2.1.284)等离子体中心，其扰动不影响等离子体边界的磁流体动力学不稳定性。	new		2.1.133
internal reconnection event	内部重联事件	IRE	使磁力线撕裂并且重联成为不同拓扑形态的不稳定性事件。它使系统达到更低的能态，通常在球形托卡马克(2.1.284)上可以观察到。	new		2.1.134
internal transport barrier	内部输运垒	ITB	等离子体内部自发形成的阻碍粒子和能量输运的屏障。	exists	internal-transport-barrier	2.1.135
ion acoustic wave	离子声波		在等离子体中，由离子惯性和电子压力结合而形成的纵向压缩波。	new		2.1.136
ion Bernstein wave	离子伯恩斯坦波		在离子回旋频率谐波下垂直于磁场传播的等离子体波。	exists	ion-bernstein-wave	2.1.137
ion cyclotron current drive	离子回旋电流驱动	ICCD	用离子回旋共振波产生的非感应电流驱动。	new		2.1.138
electron cyclotron current drive	电子回旋电流驱动	ECCD	用电子回旋共振波产生的非感应电流驱动。	exists	eccd	2.1.139
ion cyclotron emission	离子回旋发射	ICE	因为离子回旋运动而产生的电磁波辐射。	new		2.1.140
ion cyclotron resonant heating	离子回旋共振加热	ICRH	其频率与离子回旋频率相匹配的射频波辅助加热手段。	exists	ion-cyclotron-resonance-heating	2.1.141
ion plasma frequency	离子等离子体频率		f_pi 在等离子体中离子的静电振荡频率。	new		2.1.142
ion temperature	离子温度		离子的动理学温度。单位为 eV 。	exists	ion-temperature	2.1.143
ion wave instability	离子波不稳定性		离子声不稳定性 ion acoustic instability 离子等离子体振荡(离子和电子之间沿磁力线相对运动)引起的静电微观不稳定性。	new		2.1.144
isotropic plasma	各向同性等离子体		在各个方向上，具有相同性质(例如：密度、温度等)的等离子体。	new		2.1.145
Kelvin-Helmholtz instability	开尔文-亥姆霍兹不稳定性		在具有不同速度流体间的界面上出现的静电宏观不稳定性。	new		2.1.146
kinetic instability	动理学不稳定性		因为速度空间的不均匀性而引起的不稳定性。	new		2.1.147
kinetic pressure	动理学压强		由于组成等离子体的粒子的热运动而产生的动量密度。	new		2.1.148
kinetic theory	动理学理论		运用统计物理学原理研究等离子体的一种理论方法。	new		2.1.149
kink instability	扭曲不稳定性		导致等离子体整体扭拧的宏观不稳定性。	exists	kink-mode	2.1.150
kink mode	扭曲模		导致等离子体柱变形为扭结状的磁流体动力学不稳定性。	exists	kink-mode	2.1.151
Kruskal limit	克鲁斯卡尔极限		克鲁斯卡尔-沙弗拉诺夫极限 Kruskal-Shafranov limit 产生扭曲不稳定的环电流的极限值。	new		2.1.152
L-H transition	L-H转换		从低约束模向高约束模的转换。	exists	l-h-transition	2.1.153
L-mode	L模		在磁约束装置等离子体中，随着辅助加热功率的提高而约束变差的模式。	exists	l-mode	2.1.154
Landau damping	朗道阻尼		波在热等离子体中传播时，与速度接近于波的相速度 V_Phi 的等离子体粒子相互作用而引起的阻尼现象。	new		2.1.155
Langmuir frequency	朗缪尔频率		在电场作用下，电子作集体运动而引起的等离子体振荡频率。	new		2.1.156
Larmor radius	拉莫尔半径		回旋半径 cyclotron radius 对于在磁场中作横向运动的带电粒子，将其轨迹投影在与磁场垂直的平面上的曲率半径。	exists	larmor-radius	2.1.157
Lawson criterion	劳逊判据		由劳逊导出的实现氘氚受控核聚变的判据。即等离子体温度大于1亿度(10 keV)，等离子体密度和等离子体能量约束时间的乘积大于 2 times 10^20 ~m^-3 ~s 。	exists	lawson-criterion	2.1.158
line tying	力线束缚		磁力线束缚 tying down of the line of force 当等离子体中的磁力线指向导体壁时出现的一种效应。因为磁力线不能迅速穿过导体，于是，就能对等离子体的交换不稳定性起稳定作用。	new		2.1.159
locked modes	锁模		旋转的磁流体模的频率被锁定的状态。	exists	locked-mode	2.1.160
lose cone	损失锥		磁镜位形中，平行速度和垂直速度比大于一定值时，带电粒子可以穿越磁镜损失，这个比值的阈值在速度空间坐标中呈现一个锥形。	new		2.1.161
lose cone instability	损失锥不稳定性		在开端系统中，由于损失锥内等离子体产生电荷不平衡，而出现的静电微观不稳定性。	new		2.1.162
low-beta plasma	低比压等离子体		比压值 (β) 一般为 0 sim 0.01 的等离子体。	new		2.1.163
lower hybrid wave	低混杂波		LH波 其频率处于离子与电子回旋频率之间的射频波。它具有平行于磁场的电场分量，因此，它可以加速沿磁力线移动的电子。	exists	lower-hybrid-wave	2.1.164
low field side	低能磁场区		环形磁约束装置中，外侧场强比内侧场强低的区域，亦称为低场区。	new		2.1.165
low temperature plasma	低温等离子体		电子温度范围在 10^4K sim 10^6K , 比受控核聚变等离子体温度低得多的等离子体。从热力学平衡看, 包括热平衡等离子体 (电弧等离子体、化学燃烧等离子体等) 和非热平衡等离子体 (冷等离子体、辉光放电等)。	new		2.1.166
macroinstability; macroscopic instability	宏观不稳定性		等离子体不稳定性的一种类型，只涉及在位形空间中的运动，把等离子体视为整体而采用单流体模型的磁流体动力学描述，或采用多流体模型和标量压强能相当近似地描述的等离子体不稳定性。	new		2.1.167
magnetic confinement	磁约束		利用适当位形的磁场把等离子体约束在有限区域之内。	exists	magnetic-confinement	2.1.168
magnetic islands	磁岛		在非理想等粒子体中，当两个平行但方向相反的磁场靠得很近时，垂直磁力线方向的任何扰动都有可能使磁力线相对等离子体滑动而产生重叠，甚至在两个反向平行场间形成闭合磁力线。由这些闭合磁力线所包围的磁场空间。	exists	magnetic-island	2.1.169
magnetic Mach number	磁马赫数		磁流体中速度与流体中阿尔芬波速度之比的无量纲数。	new		2.1.170
magnetic mirror configuration	磁镜位形		由连接两个相同的磁场线圈形成的磁场位形，它具有能使磁力线会聚的较强场强的区域。一个向磁力线会聚区运动的粒子，如果平行于磁场的能量 (E_parallel) 与垂直于磁场的能量 (E_perp) 之比满足下列关系，见式(1)，将被反射回来。 E _ {\parallel} / E _ {\perp} \leqslant B _ {\mathrm {m}} / B _ {0} - 1 \quad \dots \tag {1} 式(1)中， B_m 为镜点(极大值)的磁场强度； B_0 是镜心(极小值)的磁场强度。	new		2.1.171
magnetic moment	磁矩		与磁铁、电流回路或粒子相联系的一种矢量，它与磁场的磁感应强度的乘积等于磁场施加在这个系统上的转矩。	new		2.1.172
magnetic shear	磁剪切		等离子体流速(流剪切)或者磁场强度(磁剪切)随小半径的变化率。在托卡马克中，通常分为正剪切、负(反)剪切及弱剪切。	exists	magnetic-shear	2.1.173
magnetic viscosity	磁黏滞性		磁场阻止导电流体垂直于场运动的效应，类似于普通黏滞性。	new		2.1.174
magnetic well	磁肿		某些磁位形中具有磁场强度最小的空间区域。	exists	magnetic-well	2.1.175
