# concept_id	category	preferred_zh	preferred_en	preferred_abbr	status	notes	source
# - concept_id: stable id, lowercase with hyphens, e.g. neutral-beam-injection
# - preferred_en MAY be a phrase (registry-level concept name). IME export must split into tokens.
# - status: active|deprecated|draft
# - source: corpus|GB/T-4960.9|ITER-glossary|IAEA-safety-glossary (provenance of the term)
# ---- Plasma physics (等离子体物理)
plasma-confinement	concept	等离子体约束	plasma confinement		active	General concept of confining plasma	corpus
magnetic-confinement	concept	磁约束	magnetic confinement		active	Confinement via magnetic fields	corpus
plasma-equilibrium	concept	等离子体平衡	plasma equilibrium		active	MHD equilibrium of confined plasma	corpus
magnetohydrodynamics	concept	磁流体力学	magnetohydrodynamics	MHD	active	Fluid description of plasma in magnetic fields	corpus
plasma-instability	concept	等离子体不稳定性	plasma instability		active	General instability in magnetically confined plasma	corpus
edge-localized-mode	concept	边缘局域模	edge localized mode	ELM	active	Periodic MHD instability at plasma edge	corpus
disruption	concept	破裂	disruption		active	Sudden loss of plasma confinement	corpus
runaway-electron	concept	逃逸电子	runaway electron		active	Electrons accelerated to relativistic energy during disruptions	corpus
plasma-current	metric	等离子体电流	plasma current	Ip	active	Toroidal current in the plasma	corpus
bootstrap-current	concept	自举电流	bootstrap current		active	Self-generated current from pressure gradient	corpus
ohmic-heating	method	欧姆加热	ohmic heating		active	Plasma heating via resistive dissipation	corpus
electron-cyclotron-resonance-heating	method	电子回旋共振加热	electron cyclotron resonance heating	ECRH	active	Heating via electron cyclotron waves	corpus
ion-cyclotron-resonance-heating	method	离子回旋共振加热	ion cyclotron resonance heating	ICRH	active	Heating via ion cyclotron waves	corpus
lower-hybrid-current-drive	method	低杂波电流驱动	lower hybrid current drive	LHCD	active	Non-inductive current drive via lower hybrid waves	corpus
h-mode	concept	高约束模	H-mode		active	High confinement mode	corpus
l-mode	concept	低约束模	L-mode		active	Low confinement mode	corpus
pedestal	concept	台基	pedestal		active	Steep gradient region at plasma edge in H-mode	corpus
scrape-off-layer	concept	刮削层	scrape-off layer	SOL	active	Open magnetic field line region outside separatrix	corpus
separatrix	concept	分界面	separatrix		active	Last closed flux surface boundary	corpus
x-point	concept	X点	X-point		active	Null point of poloidal magnetic field	corpus
magnetic-island	concept	磁岛	magnetic island		active	Island structure from tearing mode reconnection	corpus
neoclassical-tearing-mode	concept	新经典撕裂模	neoclassical tearing mode	NTM	active	Pressure-driven tearing mode instability	corpus
sawtooth	concept	锯齿	sawtooth		active	Core MHD relaxation oscillation	corpus
plasma-density	metric	等离子体密度	plasma density		active	Number density of plasma particles	corpus
plasma-temperature	metric	等离子体温度	plasma temperature		active	Kinetic temperature of plasma species	corpus
greenwald-density	metric	格林沃尔德密度	Greenwald density		active	Empirical density limit in tokamaks	corpus
poloidal-beta	metric	极向比压	poloidal beta	beta_p	active	Ratio of plasma pressure to poloidal magnetic pressure	corpus
plasma-shaping	concept	等离子体成形	plasma shaping		active	Control of plasma cross-section geometry (elongation, triangularity)	corpus
vertical-displacement-event	concept	垂直位移事件	vertical displacement event	VDE	active	Loss of vertical stability leading to disruption	corpus

# ---- Plasma-wall interaction (等离子体与壁面相互作用)
plasma-facing-component	concept	面向等离子体部件	plasma-facing component	PFC	active	Component directly exposed to plasma	corpus
first-wall	concept	第一壁	first wall	FW	active	Inner wall surface of vacuum vessel facing plasma	corpus
divertor	concept	偏滤器	divertor		active	Component for exhaust of heat and particles	corpus
sputtering	concept	溅射	sputtering		active	Ejection of surface atoms by energetic particle impact	corpus
erosion	concept	侵蚀	erosion		active	Material removal from plasma-facing surfaces	corpus
redeposition	concept	再沉积	redeposition		active	Redeposition of eroded material on surfaces	corpus
fuel-retention	metric	燃料滞留	fuel retention		active	Retention of hydrogen isotopes in PFC materials	corpus
heat-flux	metric	热流密度	heat flux		active	Power per unit area on plasma-facing surfaces	corpus
heat-load	metric	热负荷	heat load		active	Integrated thermal power on PFC components	corpus
plasma-detachment	concept	等离子体脱靶	plasma detachment		active	Reduction of heat flux to divertor via volumetric losses	corpus
impurity-seeding	method	杂质注入	impurity seeding		active	Deliberate injection of impurities for radiative cooling	corpus
limiter	concept	限制器	limiter		active	Physical structure defining plasma boundary	corpus
blanket	concept	包层	blanket		active	Neutron absorber and tritium breeding structure	corpus
breeding-blanket	concept	产氚包层	breeding blanket		active	Blanket module designed for tritium self-sufficiency	corpus
tritium-breeding-ratio	metric	氚增殖比	tritium breeding ratio	TBR	active	Ratio of tritium produced to tritium consumed	corpus
carbon-fiber-composite	material	碳纤维复合材料	carbon fiber composite	CFC	active	Legacy PFC material (JET, etc.)	corpus
plasma-surface-interaction	concept	等离子体表面相互作用	plasma-surface interaction	PSI	active	General term for plasma-material interaction processes	corpus
blistering	concept	起泡	blistering		active	Sub-surface gas accumulation causing surface deformation	corpus

# ---- Plasma diagnostics (等离子体诊断)
interferometry	diagnostic	干涉仪	interferometry		active	Plasma density measurement via refractive index	corpus
langmuir-probe	diagnostic	朗缪尔探针	Langmuir probe		active	Electrostatic probe for local plasma parameters	corpus
bolometer	diagnostic	辐射计	bolometer		active	Broadband radiation power measurement	corpus
electron-cyclotron-emission	diagnostic	电子回旋辐射	electron cyclotron emission	ECE	active	Electron temperature diagnostic via cyclotron radiation	corpus
charge-exchange-recombination-spectroscopy	diagnostic	电荷交换复合光谱	charge exchange recombination spectroscopy	CXRS	active	Ion temperature and rotation diagnostic	corpus
soft-x-ray	diagnostic	软X射线	soft X-ray	SXR	active	MHD/impurity diagnostic via soft X-ray emission	corpus
reflectometry	diagnostic	反射仪	reflectometry		active	Plasma density profile via microwave reflection	corpus
magnetic-diagnostics	diagnostic	磁诊断	magnetic diagnostics		active	Measurement of plasma current, position, shape	corpus
neutron-diagnostics	diagnostic	中子诊断	neutron diagnostics		active	Fusion power / neutron flux measurement	corpus
spectroscopy	diagnostic	光谱诊断	spectroscopy		active	General optical emission / absorption diagnostic	corpus
motional-stark-effect	diagnostic	运动斯塔克效应	motional Stark effect	MSE	active	q-profile (current density) diagnostic	corpus
far-infrared-polarimetry	diagnostic	远红外偏振仪	far-infrared polarimetry	FIR	active	Faraday rotation measurement for current profile	corpus

# ---- Superconducting magnets (超导磁体)
nbti	material	铌钛	NbTi		active	Low-temperature superconductor NbTi	corpus
rebco	material	稀土钡铜氧化物	REBCO		active	Rare-earth barium copper oxide HTS tape	corpus
high-temperature-superconductor	concept	高温超导体	high-temperature superconductor	HTS	active	Superconductor with Tc above 30 K (e.g. REBCO, YBCO, Bi-2212)	corpus
low-temperature-superconductor	concept	低温超导体	low-temperature superconductor	LTS	active	Superconductor with Tc below 30 K (e.g. NbTi, Nb3Sn)	corpus
toroidal-field-coil	concept	纵场线圈	toroidal field coil	TFC	active	Coil producing toroidal magnetic field	corpus
poloidal-field-coil	concept	极向场线圈	poloidal field coil	PFC-coil	active	Coil producing poloidal magnetic field (disambig from PFC = plasma-facing component)	corpus
central-solenoid	concept	中心螺管	central solenoid	CS	active	Solenoid for plasma current induction	corpus
quench	concept	失超	quench		active	Sudden loss of superconductivity	corpus
quench-detection	concept	失超检测	quench detection		active	System to detect onset of quench	corpus
quench-protection	concept	失超保护	quench protection		active	System to safely discharge stored magnetic energy	corpus
critical-current	metric	临界电流	critical current	Ic	active	Maximum superconducting current at given T and B	corpus
critical-temperature	metric	临界温度	critical temperature	Tc	active	Temperature above which superconductivity is lost	corpus
critical-magnetic-field	metric	临界磁场	critical magnetic field	Bc	active	Magnetic field above which superconductivity is lost	corpus
cryostat	concept	低温恒温器	cryostat		active	Vacuum vessel maintaining cryogenic temperatures	corpus
cable-in-conduit-conductor	concept	管内电缆导体	cable-in-conduit conductor	CICC	active	Forced-flow cooled superconducting cable design	corpus
magnet-feeder	concept	磁体馈线	magnet feeder		active	Current lead and cryogenic connection system	corpus
superconducting-joint	concept	超导接头	superconducting joint		active	Low-resistance joint between superconducting cables	corpus
cryoplant	system	低温制冷系统	cryoplant		active	Helium refrigeration system for superconducting magnets	corpus
current-lead	concept	电流引线	current lead		active	Conductor connecting room-temperature bus to cryogenic coil	corpus
magnetic-stored-energy	metric	磁储能	magnetic stored energy		active	Energy stored in superconducting magnet system	corpus

# ---- Stellarator (仿星器)
stellarator	device	仿星器	stellarator		active	Non-axisymmetric steady-state magnetic confinement device	corpus
modular-coil	concept	模块化线圈	modular coil		active	Non-planar coil producing stellarator rotational transform	corpus
rotational-transform	metric	旋转变换	rotational transform	iota	active	Inverse of safety factor q; characterizes field line winding	corpus
magnetic-well	concept	磁阱	magnetic well		active	Region of decreasing average B; stabilizes interchange modes	corpus
neoclassical-transport	concept	新经典输运	neoclassical transport		active	Collisional transport in toroidal geometry	corpus
stellarator-optimization	concept	仿星器优化	stellarator optimization		active	Numerical optimization of 3-D magnetic geometry	corpus
quasi-symmetry	concept	准对称	quasi-symmetry		active	Hidden approximate symmetry in |B| on flux surfaces	corpus
quasi-helical-symmetry	concept	准螺旋对称	quasi-helical symmetry	QHS	active	Quasi-symmetry along helical direction	corpus
quasi-axisymmetry	concept	准轴对称	quasi-axisymmetry	QA	active	Quasi-symmetry along toroidal direction	corpus
quasi-isodynamic	concept	准等动力	quasi-isodynamic	QI	active	Optimization target: nearly omnigenous (minimal radial drift)	corpus
wendelstein-7x	device	W7-X	Wendelstein 7-X	W7-X	active	Superconducting optimized stellarator at IPP Greifswald	corpus
helically-symmetric-experiment	device	HSX	Helically Symmetric Experiment	HSX	active	Quasi-helically symmetric stellarator at UW-Madison	corpus
large-helical-device	device	大型螺旋装置	Large Helical Device	LHD	active	Heliotron-type stellarator at NIFS Japan	corpus
island-divertor	concept	岛偏滤器	island divertor		active	Divertor concept using magnetic island topology (W7-X)	corpus
bootstrap-current-optimization	concept	自举电流优化	bootstrap current optimization		active	Minimizing bootstrap current in stellarator configurations	corpus
coil-complexity	metric	线圈复杂度	coil complexity		active	Measure of coil geometric complexity in stellarator design	corpus

# ---- Reversed field pinch (反场箍缩)
reversed-field-pinch	device	反场箍缩	reversed field pinch	RFP	active	Toroidal confinement with reversed toroidal field at edge	corpus
rfx-mod	device	RFX-mod	RFX-mod		active	Largest reversed field pinch experiment (Padova, Italy)	corpus
dynamo-effect	concept	发电机效应	dynamo effect		active	Self-organization sustaining reversed-field equilibrium	corpus
single-helical-state	concept	单螺旋态	single helical state	SHAx	active	Self-organized quasi-helical equilibrium in RFP	corpus
pulsed-poloidal-current-drive	method	脉冲极向电流驱动	pulsed poloidal current drive	PPCD	active	Active fluctuation suppression by current profile control	corpus
tearing-mode	concept	撕裂模	tearing mode		active	Resistive MHD instability causing magnetic reconnection	corpus
resistive-wall-mode	concept	电阻壁模	resistive wall mode	RWM	active	Slowly growing external kink stabilized by conducting wall	corpus

# ---- Field-reversed configuration (场反位形)
field-reversed-configuration	device	场反位形	field-reversed configuration	FRC	active	Compact toroidal plasma with zero/negligible toroidal field	corpus
theta-pinch	concept	θ箍缩	theta pinch		active	Cylindrical pinch forming FRC plasma	corpus
compact-toroid	concept	紧凑环	compact toroid	CT	active	Umbrella term for FRC and spheromak	corpus
spheromak	device	球马克	spheromak		active	Compact toroid with both toroidal and poloidal field	corpus
flux-confinement	concept	磁通约束	flux confinement		active	Confinement of poloidal flux within FRC separatrix	corpus
translation	concept	平移	translation		active	Acceleration and merging of FRC plasmoids	corpus
rotational-instability	concept	旋转不稳定性	rotational instability		active	n=2 rotational mode limiting FRC lifetime	corpus
c-2w	device	C-2W	C-2W		active	TAE Technologies advanced beam-driven FRC device (Norman)	corpus
magneto-inertial-fusion	concept	磁化惯性聚变	magneto-inertial fusion	MIF	active	Hybrid approach compressing magnetized target plasma	corpus

# ---- Inertial confinement fusion (惯性约束聚变)
inertial-confinement-fusion	concept	惯性约束聚变	inertial confinement fusion	ICF	active	Fusion via implosion-driven compression and heating	corpus
laser-driven-fusion	concept	激光驱动聚变	laser-driven fusion		active	ICF using high-power lasers as driver	corpus
direct-drive	method	直接驱动	direct drive		active	Laser beams directly illuminate fuel capsule	corpus
indirect-drive	method	间接驱动	indirect drive		active	Laser beams heat hohlraum to produce X-rays for implosion	corpus
hohlraum	concept	黑腔	hohlraum		active	Cylindrical cavity converting laser to X-rays (indirect drive)	corpus
fuel-capsule	concept	靶丸	fuel capsule		active	DT ice/ablator shell target for ICF	corpus
ablator	concept	烧蚀层	ablator		active	Outer capsule layer providing implosion drive	corpus
rayleigh-taylor-instability	concept	瑞利-泰勒不稳定性	Rayleigh-Taylor instability	RTI	active	Hydrodynamic instability at accelerating density interface	corpus
ignition	concept	点火	ignition		active	Self-sustaining thermonuclear burn condition	corpus
lawson-criterion	concept	劳森判据	Lawson criterion		active	Minimum n·τ·T product for fusion energy gain	corpus
energy-gain	metric	能量增益	energy gain	Q	active	Ratio of fusion energy output to input energy	corpus
nif	device	NIF	National Ignition Facility	NIF	active	192-beam laser ICF facility at LLNL	corpus
z-pinch	device	Z箍缩	Z-pinch		active	Magnetically driven ICF / pulsed power approach	corpus
heavy-ion-fusion	concept	重离子聚变	heavy-ion fusion	HIF	active	ICF using heavy-ion beams as driver	corpus
fast-ignition	method	快点火	fast ignition		active	Separate compression and heating using ultra-intense laser	corpus
shock-ignition	method	激波点火	shock ignition		active	Launching strong convergent shock for ignition	corpus
target-fabrication	concept	靶制造	target fabrication		active	Manufacturing precision ICF fuel targets	corpus
cryogenic-target	concept	低温靶	cryogenic target		active	Fuel target with DT ice layer at ~18 K	corpus
laser-plasma-interaction	concept	激光等离子体相互作用	laser-plasma interaction	LPI	active	Energy coupling and parametric instabilities at critical surface	corpus

# ---- Other alternative / compact fusion concepts (其他替代/紧凑聚变概念)
spherical-tokamak	device	球形托卡马克	spherical tokamak	ST	active	Low aspect ratio tokamak (e.g. NSTX, MAST, BEST)	corpus
dense-plasma-focus	device	稠密等离子体焦点	dense plasma focus	DPF	active	Pulsed high-density z-pinch device	corpus
mirror-machine	device	磁镜装置	mirror machine		active	Open-ended magnetic confinement with mirror coils	corpus
magnetic-mirror	concept	磁镜	magnetic mirror		active	Magnetic field topology reflecting charged particles	corpus
tandem-mirror	device	串列磁镜	tandem mirror		active	Mirror with electrostatic end plugs for confinement	corpus
plasma-gun	concept	等离子体枪	plasma gun		active	Device for injecting compact toroids / plasma jets	corpus
muon-catalyzed-fusion	concept	μ子催化聚变	muon-catalyzed fusion		active	Fusion at low temperature mediated by muons replacing electrons	corpus

# ---- Proton-boron (p-B11) fusion / ENN (新奥) pathway
proton-boron-fusion	concept	质子-硼聚变	proton-boron fusion	p-B11	active	Aneutronic fusion reaction p + 11B → 3α	corpus
aneutronic-fusion	concept	无中子聚变	aneutronic fusion		active	Fusion reactions producing no or negligible neutrons	corpus
advanced-fuel	concept	先进燃料	advanced fuel		active	Non-DT fuel cycles (p-B11, D-He3, D-D, etc.)	corpus
coulomb-barrier	concept	库仑势垒	Coulomb barrier		active	Electrostatic energy barrier for nuclear fusion	corpus
fusion-cross-section	metric	聚变截面	fusion cross section		active	Reaction probability as function of energy (σ)	corpus
fusion-reactivity	metric	聚变反应率	fusion reactivity		active	Rate coefficient <σv> for fusion reactions	corpus
alpha-particle	concept	α粒子	alpha particle		active	He-4 nucleus; primary product of p-B11 reaction (3α)	corpus
alpha-channeling	concept	α粒子能量导引	alpha channeling		active	Wave-mediated extraction of alpha particle energy to heat fuel	corpus
bremsstrahlung	concept	韧致辐射	bremsstrahlung		active	Radiation loss from electron deceleration; dominant loss in p-B11	corpus
synchrotron-radiation	concept	同步辐射	synchrotron radiation		active	Radiation from relativistic electrons in magnetic fields	corpus
radiation-loss	metric	辐射损失	radiation loss		active	Power lost via bremsstrahlung, synchrotron, and line radiation	corpus
power-balance	concept	功率平衡	power balance		active	Balance of heating, fusion power, and loss channels	corpus
direct-energy-conversion	concept	直接能量转换	direct energy conversion	DEC	active	Conversion of charged particle kinetic energy to electricity without thermal cycle	corpus
traveling-wave-direct-energy-converter	concept	行波直接能量转换器	traveling wave direct energy converter	TWDEC	active	Specific DEC concept using traveling electromagnetic wave deceleration	corpus
plasma-beta	metric	等离子体比压	plasma beta		active	Ratio of plasma pressure to magnetic pressure (β)	corpus
high-beta	concept	高比压	high beta		active	Plasma regime with β approaching or exceeding unity; required for p-B11	corpus
enn	organization	新奥	ENN		active	ENN Energy Research Institute (新奥能源研究院)	corpus
enn-compact-fusion	device	新奥紧凑聚变装置	ENN compact fusion device		active	ENN's compact FRC/mirror-based p-B11 experimental device series	corpus
rexie	device	REXIE	REXIE		active	ENN rotating-field FRC experiment (Rotating EXperiment for Ions and Electrons)	corpus
kmax	device	KMAX	KMAX		active	ENN compact magnetized plasma experiment	corpus
enn-cst	device	新奥球形托卡马克	ENN compact spherical tokamak	ENN-CST	active	ENN compact spherical tokamak device (EXL-50)	corpus
exl-50	device	EXL-50	EXL-50		active	ENN spherical tokamak; exploratory device for p-B11 path	corpus
rotating-magnetic-field	method	旋转磁场	rotating magnetic field	RMF	active	Current drive method for FRC via externally applied rotating B-field	corpus
odd-parity-rotating-magnetic-field	method	奇宇称旋转磁场	odd-parity rotating magnetic field	RMFo	active	RMF variant with axial field reversal; used in FRC sustainment	corpus
neutral-beam-driven-frc	concept	中性束驱动场反	neutral beam driven FRC		active	Sustaining FRC via tangential neutral beam injection (TAE/ENN approach)	corpus
frc-merging	method	场反并合	FRC merging		active	Formation of high-flux FRC via collision-merging of two plasmoids	corpus
ion-temperature	metric	离子温度	ion temperature	Ti	active	Kinetic temperature of fuel ions; must exceed ~100 keV for p-B11	corpus
electron-temperature	metric	电子温度	electron temperature	Te	active	Kinetic temperature of electrons; radiation loss scales with Te	corpus
hot-ion-mode	concept	热离子模式	hot-ion mode		active	Regime with Ti >> Te; suppresses bremsstrahlung in p-B11	corpus
beam-target-fusion	concept	束靶聚变	beam-target fusion		active	Fusion between energetic beam ions and thermal target plasma	corpus
thermonuclear-fusion	concept	热核聚变	thermonuclear fusion		active	Fusion in thermal plasma (Maxwellian); contrasted with beam-target	corpus
beam-beam-fusion	concept	束束聚变	beam-beam fusion		active	Fusion between two energetic beam ion populations	corpus
non-thermal-plasma	concept	非热平衡等离子体	non-thermal plasma		active	Plasma with non-Maxwellian ion distribution (relevant for p-B11 reactivity)	corpus
spin-polarized-fuel	concept	自旋极化燃料	spin-polarized fuel		active	Nuclear-spin-aligned fuel to enhance p-B11 cross-section (~50% gain)	corpus
magnetic-nozzle	concept	磁喷管	magnetic nozzle		active	Expanding magnetic field geometry for DEC or propulsion exhaust	corpus
dielectric-wall-accelerator	concept	介质壁加速器	dielectric wall accelerator	DWA	active	Compact pulsed ion accelerator concept for beam-driven fusion	corpus
electrostatic-confinement	concept	静电约束	electrostatic confinement		active	Confinement by electrostatic potential well (fusor, polywell)	corpus
plasma-facing-material	concept	面向等离子体材料	plasma-facing material	PFM	active	Wall material selected for compatibility with fusion plasma environment	corpus

# ---- Fusion engineering: vacuum & structures (聚变工程：真空与结构)
vacuum-vessel	concept	真空室	vacuum vessel	VV	active	Primary vacuum boundary and structural component	corpus
thermal-shield	concept	冷屏	thermal shield		active	Radiation shield between cryostat and warm components	corpus
biological-shield	concept	生物屏蔽	biological shield		active	Concrete/steel shield for personnel radiation protection	corpus
remote-handling	concept	遥操作	remote handling	RH	active	Remotely operated maintenance inside activated vessel	corpus
remote-maintenance	concept	遥维护	remote maintenance		active	Maintenance using remote handling equipment in activated zones	corpus
hot-cell	concept	热室	hot cell		active	Shielded facility for handling activated components	corpus

# ---- Fusion engineering: tritium systems (氚系统)
tritium-plant	system	氚工厂	tritium plant		active	Integrated facility for tritium processing and recycling	corpus
permeation	concept	渗透	permeation		active	Diffusion of hydrogen isotopes through solid materials	corpus
detritiation	concept	去氚	detritiation		active	Removal of tritium from gas, water, or solid streams	corpus
tritium-inventory	metric	氚存量	tritium inventory		active	Total tritium quantity in a system or component	corpus

# ---- Fusion engineering: breeding materials (增殖材料)
lithium-lead	material	锂铅	lithium-lead	LiPb	active	Liquid breeder/coolant/neutron multiplier eutectic (Pb-15.7Li)	corpus
lithium-titanate	material	钛酸锂	lithium titanate	Li2TiO3	active	Ceramic breeder pebble material	corpus
lithium-orthosilicate	material	正硅酸锂	lithium orthosilicate	Li4SiO4	active	Ceramic breeder pebble material	corpus
neutron-multiplier	concept	中子倍增剂	neutron multiplier		active	Material (Be, Pb) producing extra neutrons for tritium breeding	corpus

# ---- Fusion engineering: structural materials (结构材料)
rafm-steel	material	低活化铁素体/马氏体钢	RAFM steel	RAFM	active	Reduced-activation ferritic/martensitic steel	corpus
eurofer	material	EUROFER	EUROFER		active	European RAFM reference steel (EUROFER97)	corpus
clf-1	material	CLF-1	CLF-1		active	China Low-activation Ferritic steel (CLAM family)	corpus
clam	material	CLAM	CLAM		active	China Low Activation Martensitic steel	corpus
vanadium-alloy	material	钒合金	vanadium alloy		active	V-4Cr-4Ti class low-activation structural material	corpus
sic-sic-composite	material	碳化硅复合材料	SiC/SiC composite	SiC/SiC	active	Silicon carbide fiber-reinforced SiC matrix composite	corpus
ods-steel	material	氧化物弥散强化钢	ODS steel	ODS	active	Oxide dispersion strengthened ferritic steel	corpus

# ---- Fusion engineering: coolant concepts (冷却系统)
helium-cooled	concept	氦冷	helium-cooled		active	Coolant scheme using high-pressure helium gas	corpus
water-cooled	concept	水冷	water-cooled		active	Coolant scheme using pressurized water	corpus
liquid-metal-coolant	concept	液态金属冷却剂	liquid metal coolant		active	Coolant using liquid metals (Li, LiPb, Sn)	corpus

# ---- Fusion engineering: blanket concepts (包层方案)
hccb	concept	氦冷固态包层	helium-cooled ceramic breeder	HCCB	active	Helium-cooled ceramic breeder blanket (CN reference)	corpus
wccb	concept	水冷陶瓷包层	water-cooled ceramic breeder	WCCB	active	Water-cooled ceramic breeder blanket (CN reference)	corpus
hcll	concept	氦冷锂铅包层	helium-cooled lithium-lead	HCLL	active	EU helium-cooled lithium-lead blanket concept	corpus
hcpb	concept	氦冷球床包层	helium-cooled pebble bed	HCPB	active	EU helium-cooled pebble bed blanket concept	corpus
dcll	concept	双冷锂铅包层	dual-coolant lithium-lead	DCLL	active	He/LiPb dual-coolant blanket concept	corpus
tbm	concept	实验包层模块	test blanket module	TBM	active	In-vessel test modules for ITER blanket qualification	corpus

# ---- Fusion engineering: neutronics & irradiation (中子学与辐照)
neutron-wall-loading	metric	中子壁负荷	neutron wall loading		active	Neutron power per unit first-wall area (MW/m²)	corpus
dpa	metric	离位损伤	displacement per atom	dpa	active	Irradiation damage metric for structural materials	corpus
transmutation	concept	嬗变	transmutation		active	Nuclear transformation of elements under irradiation	corpus
activation-analysis	method	活化分析	activation analysis		active	Calculation/measurement of induced radioactivity	corpus
shutdown-dose-rate	metric	停堆剂量率	shutdown dose rate	SDDR	active	Contact/distance dose rate after reactor shutdown	corpus
neutron-source	device	中子源	neutron source		active	14 MeV neutron source for fusion materials testing	corpus
ifmif	device	国际聚变材料辐照装置	IFMIF	IFMIF	active	International Fusion Materials Irradiation Facility	corpus
dones	device	DONES	DONES		active	DEMO-Oriented Neutron Source (IFMIF successor in EU)	corpus
fusion-neutron	concept	聚变中子	fusion neutron		active	14.1 MeV neutron from D-T reaction	corpus

# ---- Major fusion devices (重要聚变装置)
cfetr	device	中国聚变工程试验堆	CFETR	CFETR	active	China Fusion Engineering Test Reactor	corpus
cfetr-design	concept	CFETR设计	CFETR design		active	Design activities and parameter studies for CFETR	corpus
demo	device	示范堆	DEMO	DEMO	active	Demonstration fusion power plant (generic milestone)	corpus
jet	device	JET	JET		active	Joint European Torus (largest tokamak, Culham)	corpus
jt-60sa	device	JT-60SA	JT-60SA		active	Japan Torus superconducting upgrade at QST Naka	corpus
diii-d	device	DIII-D	DIII-D		active	GA tokamak at San Diego (largest US tokamak)	corpus
asdex-upgrade	device	ASDEX Upgrade	ASDEX Upgrade	AUG	active	Axially Symmetric Divertor EXperiment Upgrade at IPP Garching	corpus
hl-2a	device	HL-2A	HL-2A		active	Tokamak at SWIP Chengdu (earlier generation)	corpus
hl-2m	device	HL-2M	HL-2M		active	Next-generation tokamak at SWIP Chengdu	corpus
kstar	device	KSTAR	KSTAR		active	Korea Superconducting Tokamak Advanced Research	corpus
sparc	device	SPARC	SPARC		active	Compact high-field HTS tokamak (CFS/MIT)	corpus
arc	device	ARC	ARC		active	Affordable Robust Compact reactor concept (CFS/MIT pilot plant design)	corpus
step	device	STEP	STEP		active	Spherical Tokamak for Energy Production (UKAEA)	corpus
