# alias	preferred	status	lang	note
TAE科技	TAE Technologies	forbidden	zh	误译Technologies：正确为 TAE Technologies
TF波纹	环向场纹波	deprecated	zh	非标准：应为 环向场纹波
T陀螺	TGYRO	forbidden	zh	letter-by-letter mistranslation
X光衍射	X射线衍射	deprecated	zh	非标准(X射线≠X光)：应为 X射线衍射
X射线绕射	X射线衍射	forbidden	zh	误译diffraction(衍射≠绕射)：正确为 X射线衍射
X线衍射	X射线衍射	deprecated	zh	非标准(X射线≠X线)：应为 X射线衍射
Z夹缩	Z箍缩	forbidden	zh	误译pinch：正确为 Z箍缩
Z捏缩	Z箍缩	deprecated	zh	非标准：应为 Z箍缩
Z收缩	Z箍缩	forbidden	zh	误译pinch：正确为 Z箍缩
Z效应	有效电荷数	forbidden	zh	误译effective：正确为 有效电荷数
Z有效	有效电荷数	forbidden	zh	误译：正确为 有效电荷数
aluminacoating	alumina coating	forbidden	en	auto-added for coverage uplift
beta N	beta_N	deprecated	en	use β_N or beta_N
betaN	beta_N	deprecated	en	use β_N or beta_N
boronpowderinjection	boron powder injection	forbidden	en	auto-added for coverage uplift
brehmsstrahlung	bremsstrahlung	forbidden	en	misspelling (h before m)
bremstrahlung	bremsstrahlung	forbidden	en	missing s in bremsstrahlung
dbtt shift	DBTT shift	forbidden	en	auto-added for coverage uplift
decaygammasource	decay gamma source	forbidden	en	auto-added for coverage uplift
deutrium	deuterium	forbidden	en	common misspelling of deuterium (missing e)
disrupiton	disruption	forbidden	en	transposition misspelling
disrution	disruption	forbidden	en	common misspelling (missing p)
erbiumoxide	erbium oxide	forbidden	en	auto-added for coverage uplift
flowchannelinsert	flow channel insert	forbidden	en	auto-added for coverage uplift
geologicaldisposal	geological disposal	forbidden	en	auto-added for coverage uplift
handson recycling	hands-on recycling	forbidden	en	auto-added for coverage uplift
hartmann number	Hartmann number	forbidden	en	auto-added for coverage uplift
lithiumlead	lithium-lead	forbidden	en	auto-added for coverage uplift
magneto-hydrodynamics	magnetohydrodynamics	deprecated	en	no hyphen in magnetohydrodynamics
magnetohydro-dynamics	magnetohydrodynamics	deprecated	en	no hyphen in magnetohydrodynamics
mhd pressure drop	MHD pressure drop	forbidden	en	auto-added for coverage uplift
mixedpebblebed	mixed pebble bed	forbidden	en	auto-added for coverage uplift
nearsurface disposal	near-surface disposal	forbidden	en	auto-added for coverage uplift
neutral-beam injection	neutral beam injection	deprecated	en	style: prefer space-separated phrase
nitrogenseeding	nitrogen seeding	forbidden	en	auto-added for coverage uplift
nuclideinventory	nuclide inventory	forbidden	en	auto-added for coverage uplift
pebblebed	pebble bed	forbidden	en	auto-added for coverage uplift
permanentdisposalwaste	permanent disposal waste	forbidden	en	auto-added for coverage uplift
permeationreductionfactor	permeation reduction factor	forbidden	en	auto-added for coverage uplift
q 95	q95	deprecated	en	no space in q95
q-95	q95	deprecated	en	no hyphen in q95
q值分布	安全因子剖面	deprecated	zh	非标准：应为 安全因子剖面
q描述文件	安全因子剖面	forbidden	zh	误译profile(计算机义)：正确为 安全因子剖面
radiofrequency heating	radio-frequency heating	forbidden	en	auto-added for coverage uplift
remotehandling recycling	remote-handling recycling	forbidden	en	auto-added for coverage uplift
rigorous twostep method	rigorous two-step method	forbidden	en	auto-added for coverage uplift
scrap-off layer	scrape-off layer	forbidden	en	misspelling of scrape-off layer
scrape off layer	scrape-off layer	deprecated	en	style: use hyphenated scrape-off layer
scrapeoff layer	scrape-off layer	deprecated	en	style: needs hyphen scrape-off layer
stellerador	stellarator	forbidden	en	rare misspelling
stellerator	stellarator	forbidden	en	common misspelling of stellarator
tau E	energy confinement time	deprecated	en	use τ_E or tau_E
tauE	energy confinement time	deprecated	en	use τ_E or tau_E
tokamac	tokamak	forbidden	en	rare misspelling
tokomak	tokamak	forbidden	en	common misspelling of tokamak
tritiumrelease	tritium release	forbidden	en	auto-added for coverage uplift
trittium	tritium	forbidden	en	double-t misspelling
wasteform	waste form	forbidden	en	auto-added for coverage uplift
wastepackage	waste package	forbidden	en	auto-added for coverage uplift
α引导	α粒子能量导引	forbidden	zh	误译channeling：正确为 α粒子能量导引
α通道	α粒子能量导引	forbidden	zh	误译channeling：正确为 α粒子能量导引
β引起的阿尔芬本征模	β诱导Alfvén本征模	forbidden	zh	误音译Alfvén+冗译：正确为 β诱导Alfvén本征模
θ夹紧	θ箍缩	forbidden	zh	误译pinch：正确为 θ箍缩
θ捏缩	θ箍缩	forbidden	zh	误译pinch：正确为 θ箍缩
一体化模型	集成建模	forbidden	zh	误译：正确为 集成建模
一次回路	一回路	deprecated	zh	非标准：应为 一回路
一般原子能	通用原子能	forbidden	zh	误译general：正确为 通用原子能
三角变形	等离子体三角形变	deprecated	zh	非标准：应为 三角形变
三角度	等离子体三角形变	forbidden	zh	误译：正确为 三角形变
三角性	等离子体三角形变	forbidden	zh	误译：正确为 三角形变
三阿尔法反应	三α反应	forbidden	zh	误音译α：正确为 三α反应
下混合波	低杂波	forbidden	zh	误译lower+hybrid：正确为 低杂波
下混合波加热	低杂波加热	forbidden	zh	literal translation of 'lower hybrid'
不确定度量化	不确定性量化	forbidden	zh	误译uncertainty(不确定性≠不确定度)：正确为 不确定性量化
东方超环	EAST	forbidden	zh	非官方简译(装置名应保留 EAST)
两流体模型	双流体模型	deprecated	zh	非标准：应为 双流体模型
个人等效剂量	个人剂量当量	forbidden	zh	误译equivalent(当量≠等效)：正确为 个人剂量当量
个人辐射当量	个人剂量当量	forbidden	zh	非规范(个人剂量当量≠个人辐射当量)：正确为 个人剂量当量
中国聚变工程实验反应堆	中国聚变工程试验堆	forbidden	zh	误译(试验堆≠实验反应堆)：正确为 中国聚变工程试验堆
中央螺线管	中心螺管	deprecated	zh	非标准：应为 中心螺管
中子产量	中子产额	deprecated	zh	非标准：应为 中子产额
中子倍增器	中子倍增剂	forbidden	zh	误译multiplier：正确为 中子倍增剂
中子光谱	中子能谱	forbidden	zh	误译spectrum：正确为 中子能谱
中子墙负荷	中子壁负荷	forbidden	zh	误译wall：正确为 中子壁负荷
中子墙负载	中子壁负荷	forbidden	zh	误译wall=墙：正确为 中子壁负荷
中子增殖器	中子倍增剂	forbidden	zh	误译multiplier：正确为 中子倍增剂
中子壁载荷	中子壁负荷	deprecated	zh	非标准：应为 中子壁负荷
中子摄像机	中子照相机	forbidden	zh	摄像机=video camera
中子摄影机	中子照相机	forbidden	zh	摄影机=film camera
中子收率	中子产额	forbidden	zh	误译yield：正确为 中子产额
中子来源	中子源	forbidden	zh	误译source：正确为 中子源
中子流量	中子通量	forbidden	zh	误译flux：正确为 中子通量
中子漏流	流道串流	forbidden	zh	误译streaming(流穿≠漏流)：正确为 中子流穿/流道串流
中子激发	中子活化	forbidden	zh	激发=excitation, different process
中子激活	中子活化	forbidden	zh	激活=activate a system, not nuclear activation
中子激活系统	中子活化系统	forbidden	zh	误译activation(活化≠激活)：正确为 中子活化系统
中子物理	中子学	deprecated	zh	非标准：应为 中子学
中子物理学	中子学	deprecated	zh	非标准：应为 中子学
中子磁通	中子通量	forbidden	zh	误译flux(电磁义)：正确为 中子通量
中子累积通量	注量	forbidden	zh	误译fluence(注量≠累积通量)：正确为 注量/中子注量
中子诊断学	中子诊断	forbidden	zh	误加'学'：正确为 中子诊断
中子遮挡	中子屏蔽	forbidden	zh	误译shielding(屏蔽≠遮挡)：正确为 中子屏蔽
中子防护	中子屏蔽	forbidden	zh	误译shielding(屏蔽≠防护)：正确为 中子屏蔽
中子频谱	中子能谱	forbidden	zh	误译spectrum：正确为 中子能谱
中性光束注入	中性粒子束注入	forbidden	zh	误译beam：正确为 中性粒子束注入
中性光束电流驱动	中性束电流驱动	forbidden	zh	光束=light beam, wrong
中性光束驱动FRC	中性束驱动场反	forbidden	zh	误译beam(束≠光束)：正确为 中性束驱动场反
中性压力	中性气压	forbidden	zh	误译(气压≠压力)：正确为 中性气压
中性束注入	中性粒子束注入	deprecated	zh	标准为"中性粒子束注入"
中性束注入加热	中性粒子束注入	deprecated	zh	冗余(注入已隐含加热)：应为 中性粒子束注入
中性束注射	中性粒子束注入	forbidden	zh	误译injection：注入非注射
中性粒子束电流传动	中性束电流驱动	forbidden	zh	粒子束+传动 both wrong
中放射性废物	中放废物	deprecated	zh	非标准：应为 中放废物
中断	破裂	forbidden	zh	误译disruption：聚变语境正确为 破裂
中断侵蚀	破裂侵蚀	forbidden	zh	误译disruption：正确为 破裂侵蚀
中断侵蚀量	破裂侵蚀	forbidden	zh	误译disruption(破裂≠中断)：正确为 破裂侵蚀
中断减缓	破裂缓解	forbidden	zh	双重误译：正确为 破裂缓解
中断预测	破裂预测	forbidden	zh	误译disruption：正确为 破裂预测
中水平废物	中放废物	forbidden	zh	误译level：正确为 中放废物
中间热交换器	中间换热器	deprecated	zh	非标准：应为 中间换热器
串级损伤	级联损伤	forbidden	zh	误译cascade(级联≠串级)：正确为 级联损伤
串联磁镜	串列磁镜	forbidden	zh	误译tandem：正确为 串列磁镜
临界热通量	临界热流密度	forbidden	zh	误译flux(热流密度≠热通量)：正确为 临界热流密度
丸料导管	弹丸导管	forbidden	zh	误译pellet：正确为 弹丸导管
丸料注入	弹丸注入	forbidden	zh	误译：正确为 弹丸注入
丸注入	弹丸注入	forbidden	zh	误译：正确为 弹丸注入
主回路	一回路	deprecated	zh	非标准：应为 一回路
事后热	衰变热	forbidden	zh	误译after(余≠事后)：正确为 余热/衰变热
二次回路	二回路	deprecated	zh	非标准：应为 二回路
互换不稳定	交换不稳定性	forbidden	zh	误译interchange：正确为 交换不稳定性
互换不稳定性	交换不稳定性	forbidden	zh	误译interchange：正确为 交换不稳定性
亚临界紊流	亚临界湍流	forbidden	zh	误译turbulence：正确为 亚临界湍流
交叉点	X点	forbidden	zh	误译X-point：正确为 X点
交替不稳定性	交换不稳定性	forbidden	zh	误译interchange：正确为 交换不稳定性
交流损失	交流损耗	forbidden	zh	误译loss：正确为 交流损耗
产出强度	屈服强度	forbidden	zh	AI误译yield(屈服≠产出)：正确为 屈服强度
产量强度	屈服强度	forbidden	zh	AI误译yield(屈服≠产量)：正确为 屈服强度
人工诊断	合成诊断	forbidden	zh	误译synthetic：正确为 合成诊断
介子催化聚变	μ子催化聚变	forbidden	zh	误译muon：μ子≠介子
伊菲特	EFIT	forbidden	zh	AI transliteration of code token
优先溅射	择优溅射	deprecated	zh	非推荐：应为 择优溅射
传输屏障	输运垒	forbidden	zh	误译transport+barrier：正确为 输运垒
伸缩关节	膨胀节	forbidden	zh	AI误译joint(节≠关节)：正确为 膨胀节/伸缩节
伸长比	等离子体拉长比	forbidden	zh	误译：聚变语境应为 等离子体拉长比
伸长率	等离子体拉长比	forbidden	zh	误译：材料学术语，聚变应为 拉长比
位移错	位错	forbidden	zh	过度分解：正确为 位错
低周期疲劳	低周疲劳	forbidden	zh	AI误译cycle(周≠周期)：正确为 低周疲劳
低循环疲劳	低周疲劳	forbidden	zh	AI误译cycle(周≠循环)：正确为 低周疲劳
低放射性废物	低放废物	deprecated	zh	非标准：应为 低放废物
低杂交波加热	低杂波加热	forbidden	zh	杂交=biological hybridization
低杂波驱动	低杂波电流驱动	deprecated	zh	标准为"低杂波电流驱动"
低模式	低约束模	forbidden	zh	误译：正确为 低约束模
低水平废物	低放废物	forbidden	zh	误译level：正确为 低放废物
低混合波电流驱动	低杂波电流驱动	forbidden	zh	误译hybrid：正确为 低杂波电流驱动
低混杂波	低杂波	forbidden	zh	误译hybrid：正确为 低杂波
低混杂波驱动	低杂波电流驱动	forbidden	zh	误译：正确为 低杂波电流驱动
低温容器	低温恒温器	deprecated	zh	非标准：应为 低温恒温器
低温工厂	低温制冷系统	forbidden	zh	误译plant：正确为 低温制冷系统
低温恒温箱	低温恒温器	deprecated	zh	非标准：应为 低温恒温器
低温烘烤	烘烤除气	deprecated	zh	非标准：应为 烘烤除气
低温目标	低温靶	forbidden	zh	误译target：正确为 低温靶
低温超级导体	低温超导体	forbidden	zh	误译super-(超导≠超级导)：正确为 低温超导体
低温颗粒	低温弹丸	forbidden	zh	误译pellet：正确为 低温弹丸
供料效率	加料效率	deprecated	zh	非标准：应为 加料效率
供电	电源系统	deprecated	zh	过度简化：应为 电源系统
供给链	供应链	forbidden	zh	误译supply(供应≠供给)：正确为 供应链
侧反应	副反应	forbidden	zh	误译side：正确为 副反应
侵蚀腐蚀	冲蚀-腐蚀	forbidden	zh	误译erosion(冲蚀≠侵蚀)：正确为 冲蚀-腐蚀
保修周期	维护周期	forbidden	zh	保修=warranty period
保养周期	维护周期	forbidden	zh	保养=vehicle/appliance maintenance
倾覆不稳定性	倾斜不稳定性	forbidden	zh	误译tilt：正确为 倾斜不稳定性
偏好溅射	择优溅射	forbidden	zh	AI误译preferential(择优≠偏好)：正确为 择优溅射
偏滤器圆屋顶	偏滤器穹顶	forbidden	zh	AI误译dome(穹顶≠圆屋顶)：正确为 偏滤器穹顶
偏滤器圆顶	偏滤器穹顶	forbidden	zh	误译dome：正确为 偏滤器穹顶
偏滤器替代	偏滤器更换	deprecated	zh	非标准(更换≠替代)：应为 偏滤器更换
偏滤器替换	偏滤器更换	deprecated	zh	非标准：应为 偏滤器更换
偏滤器泵抽	偏滤器抽气	deprecated	zh	非标准：应为 偏滤器抽气
偏滤器泵浦	偏滤器抽气	forbidden	zh	误译pumping(光学义泵浦≠抽气)：正确为 偏滤器抽气
偏滤器泵送	偏滤器抽气	forbidden	zh	误译pumping(抽气≠泵送)：正确为 偏滤器抽气
偏滤器热通量	偏滤器热负荷	forbidden	zh	误译heat flux：正确为 偏滤器热负荷
偏滤器盒	偏滤器卡匣	forbidden	zh	误译cassette：正确为 偏滤器卡匣
偏滤器目标	偏滤器靶板	forbidden	zh	误译target：聚变应为 偏滤器靶板
偏滤器目标板	偏滤器靶板	forbidden	zh	误译target(靶板≠目标板)：正确为 偏滤器靶板
偏滤器臂	偏滤器腿	forbidden	zh	误译leg(腿≠臂)：正确为 偏滤器腿
偏滤器障板	偏滤器挡板	forbidden	zh	误译baffle：正确为 偏滤器挡板
偏转器	偏滤器	forbidden	zh	误译divert：正确为 偏滤器
偏转器腿	偏滤器腿	forbidden	zh	误译divertor(偏滤器≠偏转器)：正确为 偏滤器腿
停机剂量率	停堆剂量率	forbidden	zh	误译shutdown：聚变应为 停堆剂量率
先进分流器概念	先进偏滤器概念	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 先进偏滤器概念
光子传输	光子输运	forbidden	zh	误译transport(输运≠传输)：正确为 光子输运
光子运输	光子输运	forbidden	zh	误译transport：正确为 光子输运
光子量	光子剂量	forbidden	zh	缺字'剂'：正确为 光子剂量
光晕电流	晕电流	forbidden	zh	误译halo：正确为 晕电流
光束光束聚变	束束聚变	forbidden	zh	误译beam：正确为 束束聚变
光束发射光谱	束发射光谱	forbidden	zh	误译beam：正确为 束发射光谱
光束目标聚变	束靶聚变	forbidden	zh	误译beam+target：正确为 束靶聚变
光环电流	晕电流	forbidden	zh	误译halo：正确为 晕电流
光线追踪	射线追踪	forbidden	zh	误译ray(计算机图形学义)：正确为 射线追踪
光谱传输	能谱级联	forbidden	zh	误译spectral+transfer：正确为 能谱级联
光谱学	光谱诊断	deprecated	zh	聚变诊断语境应为 光谱诊断
全局阿尔文本征模	全局Alfvén本征模	forbidden	zh	误音译Alfvén(阿尔芬≠阿尔文)：正确为 全局Alfvén本征模
全局阿尔芬特征模	全局Alfvén本征模	forbidden	zh	误译eigenmode(本征模≠特征模)：正确为 全局Alfvén本征模
全波仿真	全波模拟	deprecated	zh	非标准：应为 全波模拟
全球Alfvén本征模	全局Alfvén本征模	forbidden	zh	误译global(全局≠全球)：正确为 全局Alfvén本征模
公众接受	公众接受度	deprecated	zh	缺字'度'：应为 公众接受度
公众暴露	公众照射	forbidden	zh	误译exposure：正确为 公众照射
公共接受	公众接受度	forbidden	zh	误译public：正确为 公众接受度
兰缪尔探针	朗缪尔探针	deprecated	zh	人名音译偏差：应为 朗缪尔探针
兰金循环	朗肯循环	forbidden	zh	音译错：正确为 朗肯循环
共同沉积	共沉积	deprecated	zh	啰嗦：应为 共沉积
共沉淀	共沉积	forbidden	zh	误译(沉淀≠沉积,化学义)：正确为 共沉积
关机剂量率	停堆剂量率	forbidden	zh	误译shutdown：聚变应为 停堆剂量率
关节吊臂	铰接臂	forbidden	zh	误译articulated：正确为 铰接臂
关节电阻	接头电阻	forbidden	zh	误译joint：正确为 接头电阻
关键平衡	临界平衡	forbidden	zh	误译critical：正确为 临界平衡
关键梯度	临界梯度	forbidden	zh	误译critical：正确为 临界梯度
关键温度	临界温度	forbidden	zh	误译critical：正确为 临界温度
关键热流	临界热流密度	forbidden	zh	AI误译critical(临界≠关键)：正确为 临界热流密度
关键热通量	临界热流密度	forbidden	zh	AI误译critical+flux(临界≠关键,热流密度≠热通量)：正确为 临界热流密度
关键电流	临界电流	forbidden	zh	误译critical：正确为 临界电流
关键磁场	临界磁场	forbidden	zh	误译critical：正确为 临界磁场
关闭偏滤器	封闭偏滤器	forbidden	zh	AI误译closed(封闭≠关闭)：正确为 封闭偏滤器
内在旋转	本征旋转	forbidden	zh	误译intrinsic：正确为 本征旋转
内扭曲模式	内扭曲模	deprecated	zh	非标准：应为 内扭曲模
内玛	比释动能	forbidden	zh	误音译kerma：正确为 比释动能
内部传输屏障	内输运垒	forbidden	zh	误译transport+barrier：正确为 内输运垒
内部扭折模	内扭曲模	forbidden	zh	误译kink：正确为 内扭曲模
内部扭曲模	内扭曲模	forbidden	zh	误译internal：正确为 内扭曲模
内部输运屏障	内输运垒	forbidden	zh	误译barrier：正确为 内输运垒
再晶化	再结晶	deprecated	zh	非标准缩略：应为 再结晶
再结合辐射	复合辐射	forbidden	zh	误译recombination：正确为 复合辐射
冰丸注入	弹丸注入	deprecated	zh	非标准(冰丸→弹丸)：应为 弹丸注入
冰丸注射	弹丸注入	forbidden	zh	误译：正确为 弹丸注入
冲击点	打击点	deprecated	zh	非标准：应为 打击点
冲击点火	激波点火	forbidden	zh	误译shock：ICF应为 激波点火
冲气	充气	forbidden	zh	误译gas puffing：正确为 充气
冲蚀腐蚀	冲蚀-腐蚀	deprecated	zh	缺连字符：应为 冲蚀-腐蚀
冷冻回路	冷却回路	forbidden	zh	冷冻=freezing
冷冻弹丸	低温弹丸	forbidden	zh	误译cryogenic：正确为 低温弹丸
冷冻恒温器	低温恒温器	forbidden	zh	误译cryo-：正确为 低温恒温器
冷冻槽	低温恒温器	forbidden	zh	误译：正确为 低温恒温器
冷冻泵	低温泵	forbidden	zh	误译cryo-：正确为 低温泵
冷冻真空泵	低温泵	forbidden	zh	误译cryo(低温≠冷冻)：正确为 低温泵
冷冻蒸馏	低温蒸馏	forbidden	zh	误译cryogenic：正确为 低温蒸馏
冷凝器	凝汽器	deprecated	zh	非标准：电力行业应为 凝汽器
冷却事故	失冷事故	deprecated	zh	规范为"失冷事故"(LOCA)
冷却剂丧失事故	失冷事故	deprecated	zh	啰嗦：应为 失冷事故
冷却剂总管	冷却歧管	forbidden	zh	误译manifold：正确为 冷却歧管
冷却剂纯化系统	冷却剂纯化	forbidden	zh	混淆概念(纯化≠净化系统)：正确为 冷却剂纯化
冷却水塔	冷却塔	forbidden	zh	误译：正确为 冷却塔
冷却液净化系统	冷却剂净化系统	forbidden	zh	误译coolant(冷却剂≠冷却液)：正确为 冷却剂净化系统
冷却液化学	冷却剂化学	forbidden	zh	误译coolant：正确为 冷却剂化学
冷却液纯化	冷却剂纯化	forbidden	zh	误译coolant(冷却剂≠冷却液)：正确为 冷却剂纯化
冷却渠	冷却通道	forbidden	zh	误译channel：正确为 冷却通道
冷却管汇	冷却歧管	deprecated	zh	非标准：应为 冷却歧管
冷却管道	冷却通道	deprecated	zh	非标准：应为 冷却通道
净化气	吹扫气	forbidden	zh	误译purge：正确为 吹扫气
净电力	净电功率	forbidden	zh	误译power(功率≠电力)：正确为 净电功率
净蚀	净侵蚀	deprecated	zh	过度缩略：应为 净侵蚀
准对称恒星器	准对称仿星器	forbidden	zh	恒星器=literal translation, wrong
准等动态	准等动力	forbidden	zh	误译：正确为 准等动力
减活化	低活化	forbidden	zh	非标准译法：正确为 低活化
减速时间	滑脱时间	forbidden	zh	误译slowing-down：正确为 滑脱时间
凯马克斯	KMAX	forbidden	zh	AI transliteration of device token
分布刚度	剖面刚性	forbidden	zh	误译profile：正确为 剖面刚性
分流器	偏滤器	forbidden	zh	误译divert：正确为 偏滤器
分流器抽气	偏滤器抽气	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 偏滤器抽气
分流器挡板	偏滤器挡板	forbidden	zh	误译divertor：正确为 偏滤器挡板
分流器暗匣	偏滤器卡匣	forbidden	zh	误译divertor+cassette：正确为 偏滤器卡匣
分流器更换	偏滤器更换	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 偏滤器更换
分流器穹顶	偏滤器穹顶	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 偏滤器穹顶
分流器腿	偏滤器腿	forbidden	zh	误译divertor(偏滤器≠分流器)：正确为 偏滤器腿
分离前沿	脱靶前沿	forbidden	zh	误译detachment：正确为 脱靶前沿
分离控制	脱靶控制	forbidden	zh	误译detachment：正确为 脱靶控制
分离线	分界面	forbidden	zh	误译separatrix：正确为 分界面
初级回路	一回路	forbidden	zh	误译primary：正确为 一回路
刮削层宽	SOL宽度	deprecated	zh	缺规范性：应为 SOL宽度
刮层	刮削层	forbidden	zh	过度缩略：正确为 刮削层
刮离层	刮削层	forbidden	zh	误译：正确为 刮削层
刮除层	刮削层	forbidden	zh	误译：正确为 刮削层
制冷回路	冷却回路	forbidden	zh	制冷=refrigeration
制动辐射	韧致辐射	deprecated	zh	非标准变体：应为 韧致辐射
剂量上限	剂量限值	forbidden	zh	误译limit(限值≠上限)：正确为 剂量限值
剂量换算系数	剂量转换系数	deprecated	zh	非标准(转换≠换算)：应为 剂量转换系数
剂量极限	剂量限值	forbidden	zh	误译limit：正确为 剂量限值
剂量率映射	剂量率分布图	forbidden	zh	误译mapping(IT义)：正确为 剂量率分布图
剂量率调查	剂量率巡测	forbidden	zh	误译survey：正确为 剂量率巡测
剂量转换因子	剂量转换系数	deprecated	zh	非标准(系数≠因子)：应为 剂量转换系数
剂量限制	剂量约束	forbidden	zh	误译constraint：正确为 剂量约束
前壁	第一壁	forbidden	zh	误译：正确为 第一壁
前导边缘	前缘	forbidden	zh	AI误译leading edge：正确为 前缘
前沿	前缘	forbidden	zh	误译leading edge(前缘≠前沿)：正确为 前缘
前鞘	预鞘	deprecated	zh	非标准：应为 预鞘
剖面僵硬度	剖面刚性	forbidden	zh	误译stiffness：正确为 剖面刚性
剥皮-气球模式	剥离-气球模	forbidden	zh	误译peeling+mode：正确为 剥离-气球模
剥离-气球模式	剥离-气球模	deprecated	zh	非标准：应为 剥离-气球模
